publication_number,filing_date,publication_date,title,abstract,cpc_codes,cited_patents
US-11636393-B2,20200506,20230425,"Predictive, machine-learning, time-series computer models suitable for sparse training sets","Provided is a process including: obtaining, for a plurality of entities, entity logs, wherein: the entity logs comprise events involving the entities, a first subset of the events are actions by the entities, at least some of the actions by the entities are targeted actions, and the events are labeled according to an ontology of events having a plurality of event types; training, with one or more processors, based on the entity logs, a predictive machine learning model to predict whether an entity characterized by a set of inputs to the model will engage in a targeted action in a given duration of time in the future; and storing the trained predictive machine learning model in memory.",G06N3/0495|G06N3/09|G06N3/0455|G06N3/0442|G06N3/044|G06N3/045,US-2002052873-A1|US-2004095383-A1|WO-2007147166-A2|US-2009254971-A1|US-2010010823-A1|US-7685083-B2|US-2011295621-A1|US-2012137367-A1|US-2013254182-A1|US-2013282430-A1|US-2014046777-A1|US-9092801-B2|US-9092802-B1|US-2015363694-A1|US-2016047662-A1|WO-2017116488-A1|US-2017200152-A1|US-2017286857-A1|US-2018052870-A1|US-9911290-B1|US-2018089234-A1|US-10002337-B2|JP-2019531517-A|US-2019340684-A1|US-2019347668-A1|US-2019361868-A1|US-10510219-B1|US-10528959-B2|US-2020126126-A1|US-2020380389-A1|US-10877784-B1|US-2021090694-A1||||||
US-2023092440-A1,20221117,20230323,N-best softmax smoothing for minimum bayes risk training of attention based sequence-to-sequence models,"A method and apparatus are provided that analyzing sequence-to-sequence data, such as sequence-to-sequence speech data or sequence-to-sequence machine translation data for example, by minimum Bayes risk (MBR) training a sequence-to-sequence model and within introduction of applications of softmax smoothing to an N-best generation of the MBR training of the sequence-to-sequence model.",G06N3/0442|G06N3/0455|G06N3/09|G06N3/08|G06N3/045|G06N3/044,
US-2023014565-A1,20220624,20230119,Instruction based control of memory attributes,"Embodiments described herein provide techniques to facilitate instruction-based control of memory attributes. One embodiment provides a graphics processor comprising a processing resource, a memory device, a cache coupled with the processing resources and the memory, and circuitry to process a memory access message received from the processing resource. The memory access message enables access to data of the memory device. To process the memory access message, the circuitry is configured to determine one or more cache attributes that indicate whether the data should be read from or stored the cache. The cache attributes may be provided by the memory access message or stored in state data associated with the data to be accessed by the access message.",G06N3/08|G06N3/098|G06N3/0895|G06N3/0442|G06N3/098|G06N3/09|G06N3/0464,US-7197605-B2|US-2015261683-A1|US-2016092118-A1
US-11017586-B2,20190418,20210525,3D motion effect from a 2D image,"Systems and methods are described for generating a three dimensional (3D) effect from a two dimensional (2D) image. The methods may include generating a depth map based on a 2D image, identifying a camera path, generating one or more extremal views based on the 2D image and the camera path, generating a global point cloud by inpainting occlusion gaps in the one or more extremal views, generating one or more intermediate views based on the global point cloud and the camera path, and combining the one or more extremal views and the one or more intermediate views to produce a 3D motion effect.",G06N3/045|G06N3/0464|G06N3/09|G06N3/04|G06N3/08|G06N3/04,US-2004100464-A1||||||||||||||||||||
US-12099903-B2,20220718,20240924,Dynamic adaptive thresholding for qubit reset,"One or more systems, devices, computer program products and/or computer-implemented methods of use provided herein relate to a process to dynamically determine a threshold for determining a state of a qubit and apply the threshold for operating a pulse to de-excite the qubit. A system can comprise a memory that stores computer executable components, and a processor that executes the computer executable components stored in the memory, wherein the computer executable components can comprise a decision component that is configured to determine a threshold of a plurality of thresholds to apply to measurement of a state of a qubit based on a probability distribution of state of the qubit, wherein a measurement at one side of the threshold is representative of the qubit being in the ground state, and wherein a measurement at another side of the threshold is representative of the qubit being in an excited state.",G06N3/09,US-7932514-B2|US-10235635-B1|US-2019102692-A1|US-10628753-B2|US-2020394524-A1|US-2021049482-A1|US-2021182071-A1|US-2021241150-A1|CN-113326944-A|US-11112842-B1|US-2021336621-A1|US-2021342161-A1|WO-2021217989-A1|US-2022199888-A1|||||||||
US-2024202451-A1,20230331,20240620,Multi-dimensional entity generation from natural language input,"Aspects of the present disclosure relate to systems and methods for creating a multi-dimensional entity (MDE) based on natural language (NL) input. A user may provide NL input into an application. One or more skills may be identified for the NL input, each of which has an associated prompt template. For example, a skill is associated with a computer-aided design and/or three-dimensional manufacturing application and/or file format, thereby enabling the generation of output associated with such applications and/or file formats. In examples, a skill chain may be generated that includes one or more skills with which to generate MDE output accordingly.",G06N3/0499|G06N3/048|G06N3/0475|G06N3/0455,US-2022198156-A1
US-12541690-B2,20240613,20260203,Training optimization for low memory footprint,"A method is described. The method includes profiling a model for a learning network having a plurality of layers and associated memory. The layers include weight layers and activation layers. The plurality of weight layers including weights. The method also includes determining, based on the profiling, a training technique for the model on the learning network. The determination of the training technique includes optimizing a latency for at least one training iteration for a capacity of the associated memory. The training iteration(s) include at least one update of the weights for the weight layers.",G06N3/048|G06N3/084|G06N3/048|G06N3/045|G06N3/063|G06N3/084|G06N3/084|G06N3/048,US-2009177867-A1|US-2010174883-A1|US-2015106311-A1|US-2018189631-A1|US-2019102170-A1|US-2019102359-A1|US-2019179795-A1|US-2019205741-A1|US-2019340486-A1|US-2019348110-A1|US-2019362227-A1|US-2020057938-A1|US-2020207656-A1|US-2020293284-A1|WO-2020190776-A1|US-2020320403-A1|US-2020410337-A1|US-2021097431-A1|US-2021158132-A1|US-2021224185-A1|US-2021343343-A1|US-2022004497-A1|US-2022019880-A1|WO-2022029026-A1|US-2022114270-A1|US-2022138286-A1|US-2022164916-A1|US-11347477-B2|US-2022207293-A1|US-2022207656-A1|US-2022244916-A1|US-2022301605-A1|US-2022309328-A1|US-2022318610-A1|US-11475300-B2|US-2022414432-A1|US-2023014565-A1|US-2023047364-A1|US-2023045840-A1|US-2023074229-A1|US-2023138695-A1|US-2023146647-A1|US-2023206044-A1|US-2023259456-A1|US-2023297580-A1|US-2023316060-A1|US-2023359894-A1|US-2024094986-A1|US-2024134606-A1|US-2024169201-A1||||||||||||||||
US-12141712-B2,20201216,20241112,Method and system for extracting contextual information from a knowledge base,"This disclosure relates generally to method and system for extracting contextual information from a knowledge base. The method receives a user query comprising a request to extract contextual information from the user query. Further, the user query is analyzed based on a plurality of predefined parameters to determine sufficiency of information comprised in the user query. The received user query identifies relevant sources of the structured data, the unstructured data or the semi-structured data storage repositories. The user query is processed using a fine grain approach, where a dictionary of one or more keywords with weights are created through the domain ontology builder from the one or more knowledge articles. Furthermore, an appropriate contextual information related to the user query is extracted using the fine grain approach, based on the knowledge articles associated with the trained knowledge base comprising information required by the user query extracted from the knowledge articles.",G06N3/0442|G06N3/09|G06N3/044|G06N3/08,US-6243713-B1|US-7349895-B2|US-2010228743-A1|US-2015026163-A1|US-2018113867-A1||||
US-2023041525-A1,20210122,20230209,Automatic model selection through machine learning,"A method can include receiving data for a geologic region; based at least in part on the data, selecting a model from a plurality of models using a trained machine learning model, and inverting the data using the selected model to determine parameters of the selected model.",G06N3/09|G06N3/08|G06N3/08,US-2012090834-A1|US-2019107642-A1|
US-11972562-B2,20220107,20240430,Method for determining plant growth curve and electronic device,"A method for determining a plant growth curve includes obtaining color images and depth images of a plant to be detected at different time points, performing alignment processing on each color image and each depth image to obtain an alignment image, detecting the color image through a pre-trained target detection model to obtain a target bounding box, calculating an area ratio of the target bounding box in the color image, determining a depth value of all pixel points in the target boundary frame according to the aligned image, performing denoising processing on each depth value to obtain a target depth value, generating a first growth curve of the plant to be detected according to the target depth values and corresponding time points, and generating a second growth curve of the plant to be detected according to the area ratios and the corresponding time points.",G06N3/08|G06N3/045,US-8855405-B2|CN-109978904-A|CN-111862194-A|US-2021056685-A1|US-2021158041-A1|US-11074495-B2|US-2021289692-A1|US-11191219-B2|US-11464177-B2|US-2023031336-A1|US-11789453-B2|US-2024061440-A1
US-2021064999-A1,20200826,20210304,Multi-scale multi-granularity spatial-temporal traffic volume prediction,"Methods and systems for allocating network resources responsive to network traffic include modeling spatial correlations between fine spatial granularity traffic and coarse spatial granularity traffic for different sites and regions to determine spatial feature vectors for one or more sites in a network. Temporal correlations at a fine spatial granularity are modeled across multiple temporal scales, based on the spatial feature vectors. Temporal correlations at a coarse spatial granularity are modeled across multiple temporal scales, based on the spatial feature vectors. A traffic flow prediction is determined for the one or more sites in the network, based on the temporal correlations at the fine spatial granularity and the temporal correlations at the coarse spatial granularity. Network resources are provisioned at the one or more sites in accordance with the traffic flow prediction.",G06N3/045|G06N3/044|G06N3/09|G06N3/0442|G06N3/0495|G06N3/0464|G06N3/0455|G06N3/084|G06N3/049|G06N3/08|G06N3/049|G06N3/08,US-2015289146-A1|US-2017220939-A1|US-2020120131-A1||
US-2023110285-A1,20211013,20230413,Vector activation function to support machine learning inference and other processes,"Apparatuses, systems, and techniques to improve processing efficiency are provided. In at least one embodiment, a processing unit is described as including circuitry that receives an input vector and applies an activation function to the input vector by performing a hardware approximation of the activation function in a vector manner. The circuitry also generates an output vector based on the activation function.",G06N3/048|G06N3/063|G06N3/048|G06N3/0481,US-2017011288-A1|US-2017103300-A1|US-2017323196-A1|WO-2018222299-A1|US-2020034698-A1|US-2020210839-A1|US-2022067527-A1|||||
US-2021217053-A1,20200109,20210715,Methods and apparatuses for selecting advertisements using semantic matching,"A system for selecting one or more advertisement items to be presented to a user may include a computing device configured to obtain anchor item data including anchor item title data and anchor item metadata identifying characteristics of an anchor item. The computing device can also obtain advertisement item data including advertisement item title data and advertisement item metadata identifying characteristics of a plurality of advertisement items. The computing device can also determine a match score for each advertisement item of the plurality of advertisement items based on the anchor item data and the advertisement item data, wherein the match score identifies a relevance of the advertisement item to the anchor item. The computing device can then select one or more advertisement items based on the match score of each advertisement item.",G06N3/045|G06N3/044|G06N3/09|G06N3/0499|G06N3/08,US-2009112840-A1|US-2011066497-A1|US-2011314039-A1|US-2012030159-A1|US-2012158552-A1|US-2012316938-A1|US-2013132365-A1|US-2013198030-A1|US-2013204825-A1|US-2013216098-A1|US-2013218674-A1|US-2014304032-A1|US-2014358668-A1|US-2016189257-A1|US-2017024663-A1|US-9691035-B1|US-9691084-B1|US-2018075512-A1|US-10115146-B1|US-2018365220-A1|US-2020089808-A1|US-2020104898-A1|US-10699210-B2|US-10706453-B1|US-2020226168-A1|US-2021012391-A1|US-2021012406-A1|US-10909567-B1|US-2021064676-A1|US-2021214274-A1|US-11176592-B2|US-2022253878-A1|||||
US-2022147797-A1,20220125,20220512,Event-based extraction of features in a convolutional spiking neural network,"A system is described that comprises a memory for storing data representative of at least one kernel, a plurality of spiking neuron circuits, and an input module for receiving spikes related to digital data. Each spike is relevant to a spiking neuron circuit and each spike has an associated spatial coordinate corresponding to a location in an input spike array. The system also comprises a transformation module configured to transform a kernel to produce a transformed kernel having an increased resolution relative to the kernel, and/or transform the input spike array to produce a transformed input spike array having an increased resolution relative to the input spike array. The system also comprises a packet collection module configured to collect spikes until a predetermined number of spikes relevant to the input spike array have been collected in a packet in memory, and to organize the collected relevant spikes in the packet based on the spatial coordinates of the spikes, and a convolutional neural processor configured to perform event-based convolution using memory and at least one of the transformed input spike array and the transformed kernel.",G06N3/088|G06N3/063|G06N3/049|G06N3/0495|G06N3/0464|G06N3/0464|G06N3/049|G06N3/063|G06N3/063|G06N3/08|G06N3/063|G06N3/088|G06N3/08|G06N3/049|G06N3/049|G06N3/088|G06N3/063|G06N3/049|G06N3/045|G06N3/045,
US-2019079954-A1,20180327,20190314,"Information processing apparatus, data structure of image file, and non-transitory computer readable medium","An information processing apparatus includes a recognition unit and a controller. The recognition unit recognizes a user&#39;s designation for an image including an object associated with attribute information. When the user&#39;s designation of the object on the image is recognized, the controller executes a workflow process defined by the attribute information based on the attribute information associated with the object and information related to a real space.",G06N3/008,
US-2025278826-A1,20240229,20250904,Adjusting manufacturing parameters using artificial intelligence,Improved manufacturing techniques involve automatically adjusting manufacturing parameters in real time as an object is being manufactured to avoid or reduce manufacturing defects. A 3D printer begins printing an object based on a 3D design and using initial parameters. Cameras perform a volumetric capture of the object as it is being printed. A 3D model of the object being printed is generated in real time. The 3D model and the 3D design are compared to determine the differences and to detect defects. A machine learning model recommends new parameters to compensate for the defects. The 3D printer continues printing the object using the new parameters automatically. Users need not guess the manufacturing parameters or take multiple iterations of trial-and-error to manually adjust the parameters.,G06N3/08,US-9815118-B1
US-2022414832-A1,20210624,20221229,X-ray imaging restoration using deep learning algorithms,"A general workflow for deep learning based image restoration in X-ray and fluoroscopy/fluorography is disclosed. Higher quality images and lower quality images are generated as training data. This training data can further be categorized by anatomical structure. This training data can be used to train a learned model, such as a neural network or deep-learning neural network. Once trained, the learned model can be used for real-time inferencing. The inferencing can be more further improved by employing a variety of techniques, including pruning the learned model, reducing the precision of the learned mode, utilizing multiple image restoration processors, or dividing a full size image into snippets.",G06N3/082|G06N3/04|G06N3/04|G06N3/082|G06N3/0464|G06N3/082,US-2017372193-A1|US-2018240219-A1|US-2018268533-A1|US-2018336709-A1|US-10173537-B2|US-2019104940-A1|US-10290084-B1|US-2019303720-A1|US-10453570-B1|US-2020065940-A1|US-10713537-B2|US-2021034921-A1|US-2021152735-A1|US-2021264574-A1|US-2021264602-A1|US-11120582-B2|US-11127117-B2|WO-2022048977-A1|US-2023033442-A1
US-2021405742-A1,20210402,20211230,"Method and device for determining gaze position of user, storage medium, and electronic apparatus","A method for determining a gaze position of a user is provided. The method can include obtaining a target distance from the display screen to a target user, and obtaining a user image of the target user, the user image includes: a global image, a head image, and an eye image, and the global image is an image of a target space in front of the display screen. The method can further include determining a first space where eyes of the target user are located from a plurality of preset subspaces within the target space based on the target distance and the global image, and determining a gaze position of the target user on the display screen corresponding to the first space and the user image of the target user, based on a preset correspondence among the subspaces, user images, and screen coordinates on the display screen.",G06N3/045|G06N3/0464|G06N3/09|G06N3/08,US-2015358594-A1|US-2020128177-A1
